cause,cause_corrected,synonym,nesting_cause
other.diseases.of.heart,Other Diseases Of Heart,Other Diseases Of Heart,all
other.diseases.of.liver,Other Diseases Of Liver,Other Diseases Of Liver,all
other.diseases.of.nervous.system,Other Diseases Of Nervous System,Other Diseases Of Nervous System,all
other.diseases.of.respiratory.system,Other Diseases Of Respiratory System,Other Diseases Of Respiratory System,all
other.diseases.of.the.circulatory.system,Other Diseases Of The Circulatory System,Other Diseases Of The Circulatory System,all
other.diseases.of.the.digestive.system,Other Diseases Of The Digestive System,Other Diseases Of The Digestive System,all
other.diseases.of.the.gentiourinary.sytem,Other Diseases Of The Gentiourinary Sytem,Other Diseases Of The Gentiourinary Sytem,all
other.diseases.of.the.nervous.system,Other Diseases Of The Nervous System,Other Diseases Of The Nervous System,all
other.diseases.of.the.respiratory.system,Other Diseases Of The Respiratory System,Other Diseases Of The Respiratory System,all
other.epidemic.disease,Other Epidemic Disease,Other Epidemic Diseases,all
other.general.disease,Other General Disease,Other General Diseases,all
other.infections.of.newborn,Other Infections Of Newborn,Other Infections Of Newborn,all
other.infective.and.parasitic.diseases,Other Infective And Parasitic Diseases,Other Infective And Parasitic Diseases,all
other.infective.diseases,Other Infective Diseases,Other Infective Diseases,all
other.malformations,Other Malformations,Other Malformations,all
other.malignant.and.lymphatic.neoplasms,Other Malignant And Lymphatic Neoplasms,Other Malignant And Lymphatic Neoplasms,all
other.maternal.causes,Other Maternal Causes,Other Maternal Causes,all
other.myocardial.degeneration,Other Myocardial Degeneration,Other Myocardial Degeneration,all
other.puerperal.causes,Other Puerperal Causes,Other Puerperal Causes,all
other.road.traffic.accidents,Other Road Traffic Accidents,Other Road Traffic Accidents,all
other.specified.causes,Other Specified Causes,Other Specified Causes,all
other.tuberculosis,Other Tuberculosis,Other Tuberculosis,Tubercular Diseases
other.violence,Other Violence,Other Violence,Violence Privation Cold And Intemperance
other.violent.causes,Other Violent Causes,Other Violent Causes,all
other zymotic disease,Other Zymotic Disease,Other Zymotic Diseases,all
other.zymotic.diseases,Other Zymotic Diseases,Other Zymotic Diseases,all
ovarian.disease,Ovarian Disease,Ovarian Disease,all
ovarian.dropsy,Ovarian Dropsy,Ovarian Dropsy,Childbirth Diseases Of The Uterus Etc
Over joy,Over Joy,Over Joy,all
overflowing.of.the.gall,Overflowing Of The Gall,Overflowing Of The Gall,all
Overflowing of the Gall,Overflowing Of The Gall,Overflowing Of The Gall,all
Overgrown head,Overgrown Head,Overgrown Head,all
overlaid,Overlaid,Overlaid,all
Overlaid,Overlaid,Overlaid,all
Overstraining,Overstraining,Overstraining,all
Pain in the head,Pain In The Head,Pain In The Head,all
pain.in.the.limbs,Pain In The Limbs,Pain In The Limbs,all
Pain in the limbs,Pain In The Limbs,Pain In The Limbs,all
